brand,country,count,MST 1,MST 2,MST 3,MST 4,MST 5,MST 6,MST 7,MST 8,MST 9,MST 10
ARMANI,Brazil,1,0.0,67.77777777777779,32.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMANI,France,17,9.743752119389844,56.66111356964729,8.640154568480044,7.5400042917409715,5.978081519930453,0.8693097090010886,0.6277105880637514,8.021432942015618,1.9184406917309331,0.0
ARMANI,Germany,64,5.102192190557426,65.60866891104956,7.590439766070682,4.18084508428131,2.1220730685340805,0.26153565887116714,0.5705688957466373,8.751227588554464,5.812448836334656,0.0
ARMANI,Italy,115,3.753039951461474,75.14990786050313,5.753017983360815,4.405735988030936,3.5406544771050212,0.5505826648720965,0.5853378990529682,6.15177846857329,0.10994470704024262,0.0
ARMANI,Mexico,1,18.213058419243985,81.78694158075601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMANI,Spain,29,10.833292377814507,70.5581779326477,9.17915816384221,1.6482433083101176,1.6487161288806662,0.29753863707605216,0.20431648819953427,2.58667408315752,3.043882880071708,0.0
ARMANI,UK,59,4.459403397072288,49.62528969218641,8.615489729245105,12.21309162496127,3.086720417889491,0.31475904442108626,0.4611773444532266,20.94560154132036,0.2737980204225536,0.004669188028201896
ARMANI,USA,51,2.7557240149474254,34.27031089483184,8.163007512946706,16.91648562713096,12.603651366193102,1.2551310446607504,4.0880152330383925,18.973413215383808,0.9742610908670254,0.0
BIOTHERM,France,2,0.0,83.95752167902475,5.724519291190147,0.684931506849315,0.0,0.0,0.0,4.587155963302752,5.045871559633028,0.0
BIOTHERM,Germany,58,2.303518708084406,88.16738098675245,1.0505721627062807,1.2567283622899437,0.0,0.0,0.0,2.811301232501043,4.4104985476658864,0.0
BIOTHERM,Italy,13,0.07616146230007616,96.52530085302988,1.5178940861982986,0.10489510489510488,0.0,0.0,0.0,1.3986745870909667,0.37707390648567124,0.0
BIOTHERM,Spain,7,0.864377115251439,88.25441899492937,4.811458345647843,2.1014915759173896,0.0,0.0,0.0,3.0423280423280423,0.9259259259259258,0.0
CERAVE,Brazil,6,5.356273976401649,67.00553964856988,15.80033416875522,10.362573099415204,0.0,0.0,0.0,1.4752791068580542,0.0,0.0
CERAVE,France,6,10.914379876244283,62.69673123486683,10.648148148148149,1.6203703703703705,2.0833333333333335,1.8518518518518519,5.092592592592593,5.092592592592593,0.0,0.0
CERAVE,Germany,113,9.614313038751865,78.52482707270593,9.896929550660028,0.8389503153926643,0.4867672499833655,0.0,0.004995046578809347,0.6332177259273437,0.0,0.0
CERAVE,Italy,6,12.261261425226406,73.97021941222229,1.0065777719587523,0.0,0.0,2.3172905525846703,4.290963098740226,6.039057481516639,0.11463025775101025,0.0
CERAVE,UK,48,7.402469079114475,84.87817537758924,1.5994307510997572,0.15274163387164744,2.897576143846505,0.48663589760586873,0.6102143346162918,1.9610526624060303,0.011704119850187267,0.0
CERAVE,USA,60,6.7796910002175235,79.06298665545604,3.4456998958877607,1.50726561112543,2.7824294214438896,0.9683375386401302,3.3532018402269625,2.0342594752984997,0.06612856170378295,0.0
GARNIER,France,102,5.302935370265622,82.29576969141979,2.5851322951489197,2.742398541847964,2.4290111296351586,0.34733193529823764,0.7410781779322239,3.4877507878877734,0.06859207056429849,0.0
GARNIER,Germany,932,4.539588634552577,80.08385361153557,3.3917093615214355,8.310656952092474,1.2187193581231386,0.3969070974521255,0.1713806222643685,1.7700041014343044,0.1171802610240194,0.0
GARNIER,India,45,16.794917393115323,80.2874459804131,1.8889498658104622,0.9573067227538821,0.0,0.0,0.0,0.07138003790723456,0.0,0.0
GARNIER,Indonesia,26,10.964049892771694,83.5270340850973,3.497002678130549,1.0063110691809904,0.024894199651481208,0.0,0.0,0.7860834227120097,0.19462465245597776,0.0
GARNIER,Italy,147,7.57648027439527,82.51945563539479,2.660860998687306,2.6471998386441284,2.1126840421752164,0.26937125749879454,0.4534033360907604,1.7153712707730762,0.045173346340657144,0.0
GARNIER,Mexico,19,24.909983488251108,73.137274579684,0.4435159014508898,0.577006576620891,0.0,0.0,0.07324474207387255,0.7961935044273293,0.06278120749189076,0.0
GARNIER,Spain,46,10.487203388764431,76.3385586968742,3.5053465965700625,4.436166806141093,3.7432715396518796,0.10455168455376274,0.11006954767551635,1.2748317397690483,0.0,0.0
GARNIER,UK,425,7.282547920255561,60.37540528841752,4.692276623915502,7.61042791834118,5.974270232773176,0.5219210551543436,2.071959709146196,11.29177155712895,0.17941969486756787,0.0
GARNIER,USA,83,3.198191994493785,59.8004125541358,7.569293377067121,12.926713842556754,5.524462674670272,0.03828248305357332,1.3506875694002818,9.587090823826554,0.004864680795861778,0.0
KERASTASE,Brazil,21,7.189168538789648,71.60114358978797,3.9918854709407765,2.482788373779308,5.6180309447744445,0.8126858964664243,1.213816159566706,7.090481025894725,0.0,0.0
KERASTASE,France,1,25.82278481012658,73.16455696202532,1.0126582278481013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KERASTASE,Germany,239,20.42985986226268,75.81023734711952,0.5610628651825419,0.4240947472701612,0.3295684726090448,0.005230125523012552,0.011207411835026899,2.163746141698692,0.2649930264993026,0.0
KERASTASE,Italy,15,19.68414334929624,76.92641772287999,1.2700482192007614,0.6775359716536187,0.05649717514124294,0.0,0.0,1.3293351528645647,0.056022408963585436,0.0
KERASTASE,Spain,4,27.459458940575658,69.94049659521802,0.576923076923077,0.0,0.0,0.0,0.0,2.023121387283237,0.0,0.0
KERASTASE,UK,55,19.216347009412043,56.10615292615673,2.9943123407278174,5.758353426159312,2.3948934557825834,0.5776913834860746,2.912629809201766,9.44676059774549,0.5928590513281886,0.0
KIEHLS,France,33,3.725470618444797,69.16111430395118,1.7318850415492455,1.951390653202856,2.918224204432679,0.024437927663734114,13.258244970252969,7.196582506525921,0.03264977397661512,0.0
KIEHLS,Germany,233,2.7283033239984085,73.38813637723729,2.9951716988554153,8.769996285979405,6.821159951439081,1.8649245043219578,1.7892056941911756,1.6316935885650854,0.011408575412197888,0.0
KIEHLS,Italy,41,4.439484569740244,78.2113221893294,5.412333846064069,4.533889366444688,0.15311975426844024,0.9388001299163276,5.984982708944174,0.3260674352926773,0.0,0.0
KIEHLS,Spain,6,0.4065040650406504,60.826891241468594,9.722817857943522,24.738231279991677,0.0,0.8333333333333334,3.4722222222222228,0.0,0.0,0.0
KIEHLS,UK,91,2.35608974837386,54.15891816777749,1.0487993745356565,5.65715274339581,7.639843942788927,2.9509103638684557,9.99977692390986,16.176432899098284,0.012075836251660428,0.0
KIEHLS,USA,25,4.635244861812693,46.865369366244195,10.66781908351727,20.816495367696426,10.049687433070494,2.1406253381843365,4.704428111522809,0.12033043795177065,0.0,0.0
LANCOME,Canada,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANCOME,France,178,6.337597987219496,75.51861345091649,4.558801358731146,5.6584262313386615,2.3044746195949815,0.5247758390939125,1.321089968717617,3.3475444330051896,0.428676111382511,0.0
LANCOME,Germany,104,3.9505258333532227,78.06183723592304,2.98274217041044,7.997149565865578,2.647175241588109,0.1173311734588385,0.6386269117076626,3.5857733524777866,0.01883851521532681,0.0
LANCOME,Italy,70,8.30993140704679,71.02304633163209,4.243754819013881,4.70869267659396,2.5590208662429985,0.0026116479498563593,1.1723171362073672,7.94960591969021,0.008522007771340956,0.02249718785151856
LANCOME,Mexico,3,8.513296070460704,91.08019986449865,0.0,0.0,0.0,0.0,0.0,0.4065040650406504,0.0,0.0
LANCOME,Spain,35,6.411771086819625,83.47788635708389,4.242585932317156,2.8229097824532663,0.9193762471343523,0.0,0.0,2.125470594191702,0.0,0.0
LANCOME,UK,102,2.42912592156085,66.82782273926071,2.4181852358109452,24.316259711670117,1.4397961556209047,0.08219490103596377,0.14613557243582256,2.3086095833865703,0.03187017921811473,0.0
LANCOME,USA,11,8.676113785408065,75.72457687824381,4.901631080257256,4.5577545228221386,2.3163072711753663,0.7175286745964317,0.1356964840994016,2.9520997358101764,0.018291567587342236,0.0
LOP,Brazil,8,4.678116593136545,76.41281158150372,6.710294200738364,1.3556049175454072,3.2958188587390085,0.4637809187279152,1.5264569111881943,5.557116018420841,0.0,0.0
LOP,France,3,3.2961124896608767,91.1641852770885,3.9330024813895776,0.0,0.6410256410256411,0.0,0.0,0.9656741108354012,0.0,0.0
LOP,Germany,39,13.326396551166019,79.77055397428816,1.8428375934388366,3.2853565927404085,1.5833027550843028,0.13015749056358195,0.004338583018786065,0.057056459699884654,0.0,0.0
LOP,Italy,14,4.836381993791475,79.3486997102519,5.943308619901711,1.3396276284452227,2.4080934739241946,0.7350660628993239,2.4824968087266006,2.9063257020595796,0.0,0.0
LOP,Spain,2,6.140350877192982,71.05263157894737,7.017543859649122,3.508771929824561,12.280701754385964,0.0,0.0,0.0,0.0,0.0
LOP,UK,44,9.859392778444215,85.38335233531373,2.2766735911815617,1.2140952731121755,1.1561594553110632,0.022065313327449248,0.08826125330979699,0.0,0.0,0.0
LRP,France,141,5.120287893043356,76.11452460436543,2.420704768395029,2.4134505572057847,1.9175159175037657,0.6642021711459163,4.1225571389225895,7.226756949418122,0.0,0.0
LRP,Germany,394,3.298323367375801,63.195365222315544,3.3443754270088184,2.121471667315984,5.950891070102741,6.079088913216955,0.9106148421489578,15.087335806238704,0.012533684276493075,0.0
LRP,Italy,20,14.337488579661255,66.33387076896724,7.362097835898209,0.891554969095076,6.119047619047619,0.0,3.714285714285714,1.2416545130448875,0.0,0.0
LRP,Mexico,2,16.85412800102923,83.14587199897076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRP,Spain,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRP,UK,68,3.3581608687040543,73.97626679236159,6.113694393754705,1.6544319328403272,3.4217035066115824,2.861318367100748,3.268526575367581,5.30819017261084,0.03770739064856712,0.0
LRP,USA,5,3.098376173318475,55.39581957548162,0.36363636363636365,30.836462701848518,10.283220643837558,0.0,0.0,0.022484541877459248,0.0,0.0
MNY,France,72,4.571130432802203,64.32135134902761,9.624826371602007,6.881659901022864,3.373298046937607,0.36039867707816975,4.749018394616893,5.966407104690415,0.1519097222222222,0.0
MNY,Germany,403,8.583323594774763,71.94033057935836,3.0750228195632734,10.8048631861828,2.6529851248003693,0.5441401594360759,0.6010799550835447,1.7982545808008108,0.0,0.0
MNY,Indonesia,4,20.471664368719466,75.21848563893398,2.354393081279657,0.26595744680851063,1.3297872340425532,0.0,0.0,0.3597122302158274,0.0,0.0
MNY,Italy,83,9.762158903433336,71.05621251007345,4.690284594286972,4.680755331091062,2.007527148966902,0.35607912463063734,1.5367313548036392,5.910251032713997,0.0,0.0
MNY,Mexico,5,5.0169794330271555,93.2622196770952,0.25806451612903225,0.3870967741935484,0.0,0.0,0.0,1.075639599555061,0.0,0.0
MNY,Spain,21,18.931002761580515,65.8982970279578,3.929451970380596,3.1631196094575658,1.8902206020451526,0.58284414951623,2.109124334020366,3.495939545041775,0.0,0.0
MNY,UK,101,6.1599281865784095,50.36622651721555,3.779655083898859,8.39576027428423,10.888973863531476,2.1310962685071435,6.254674523106068,12.023685282878262,0.0,0.0
MNY,USA,65,6.133379012516233,57.80037710361436,1.9942902404011087,12.490625133219828,4.962509592904334,0.5451466092198357,9.3161678552158,6.757504452908501,0.0,0.0
NYX,France,3,6.813649887960151,85.28783437981802,0.8876378793269963,1.223970246869652,0.0,0.0,0.0,5.786907606025178,0.0,0.0
NYX,Germany,154,0.4678824763498567,66.83372747749027,4.8880200228365025,4.701870697742094,11.248662466668087,0.17227670288894778,1.6439138974528165,10.04364625857142,0.0,0.0
NYX,Italy,4,0.0,82.99682484026805,2.128623188405797,11.676747311827958,0.1736111111111111,0.0,0.0,3.024193548387097,0.0,0.0
NYX,Spain,2,4.62962962962963,44.44444444444444,0.9259259259259258,0.0,0.0,1.7857142857142856,30.357142857142854,17.857142857142858,0.0,0.0
NYX,UK,86,7.683988374149243,46.63167646138011,1.8546949279347107,3.9292119420068596,7.061322260632252,1.0560792242392638,8.271973435370272,23.511053374287282,0.0,0.0
NYX,USA,37,23.75074489204924,39.96668642659788,1.8589760206497599,3.191282415234979,1.123606974341445,4.85477342173212,15.156236393266319,10.097693456128258,0.0,0.0
OAP,Brazil,14,17.538720838085048,46.81488458368226,0.26862032708687816,0.23669741869350483,11.531633469225918,0.432205285620151,17.79414427406619,5.383093803540063,0.0,0.0
OAP,France,142,10.054376101516437,66.80926538863002,3.136047053415188,2.311835539333732,9.957315290781697,1.6850077002902637,0.6618314689714768,4.298832922842649,1.0854885342185265,0.0
OAP,India,4,5.891864529440749,92.09594034860804,1.1566310975609757,0.3515625,0.0390625,0.0,0.0,0.4649390243902439,0.0,0.0
OAP,Italy,206,7.169694868534092,75.19078264974078,6.5579689256768745,4.8156085292331,1.5823818312973807,0.36036322094751594,0.3802404476188622,3.5974131324632213,0.34554639448816393,0.0
OAP,Mexico,10,14.914930254375411,84.0802351162419,0.9794539187227868,0.0,0.0,0.0,0.0,0.025380710659898477,0.0,0.0
OAP,Spain,53,9.044528752316385,78.8725312928005,4.499070278866419,3.5094087979381494,1.450455907659375,0.2534126241571987,0.722001156233928,1.6360958757708803,0.012495314257153568,0.0
OAP,UK,357,3.8349754608006257,73.09658344704806,3.0360133750351,13.66138236408456,2.373724673781074,0.13050247152167474,0.7183131532337095,3.0523340484412236,0.09617100605397301,0.0
OAP,USA,94,4.134215653822517,56.87636106888824,8.17637169499131,11.6788117604408,2.3650699879114647,0.5382396956745122,3.3802633136825913,12.112906798735743,0.7377600258528207,0.0
PRADA,France,3,3.7032156894461985,72.79099722281195,16.663468987567622,0.0,0.0,0.0,0.0,6.842318100174225,0.0,0.0
PRADA,Germany,19,1.1079826551055785,64.68757720208106,9.493563822581914,0.6366827791147984,3.115677666394899,2.6065399977496173,4.246700749772426,12.554176424589295,1.5510987026104088,0.0
PRADA,Italy,4,3.7335696932309608,73.84070953491897,17.3648783728397,1.631941897146211,0.0,0.0,0.0,2.953004324806438,0.4758961770577128,0.0
PRADA,UK,52,0.335968616212463,87.68950234293051,2.8425806324868366,2.897098049735951,0.0,0.0,0.0,6.226415810726016,0.0,0.008434547908232119
PRADA,USA,6,1.40575732149438,80.66063543047305,2.4064530677779437,15.527154180254627,0.0,0.0,0.0,0.0,0.0,0.0
REDKEN,Germany,1,0.9523809523809524,99.04761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REDKEN,Italy,16,4.4435383447002135,77.61525988160707,3.0314301028229123,8.851277011323742,6.0292890520694264,0.02920560747663551,0.0,0.0,0.0,0.0
REDKEN,Spain,4,15.399159663865547,68.91456582633053,1.6666666666666667,0.0,14.019607843137255,0.0,0.0,0.0,0.0,0.0
REDKEN,UK,7,8.540723981900452,76.97610294117648,0.33482142857142855,0.0,1.6483516483516483,0.8241758241758241,11.538461538461538,0.13736263736263737,0.0,0.0
REDKEN,USA,2,10.457516339869281,66.78262702930634,2.171621336706726,8.823529411764707,8.49673202614379,0.0,3.2679738562091507,0.0,0.0,0.0
VICHY,Brazil,4,0.9868421052631579,92.60290148448044,0.0,0.0,0.0,0.0,0.2136752136752137,6.196581196581197,0.0,0.0
VICHY,France,86,6.4067703664008215,81.71523815966056,1.2517840603512511,2.9838088879706284,0.5600918367137736,0.0,0.05495254932614272,6.485789278781464,0.5415648607953516,0.0
VICHY,Germany,377,5.880398389383376,85.15388920370619,0.5974170448108811,6.194966843209891,1.5679485255799395,0.01427112493672237,0.007564386072806281,0.580339605463117,0.0032048768370779904,0.0
VICHY,Mexico,3,19.37533459163806,80.62466540836193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VICHY,Spain,3,6.563238109445315,87.42414824759868,0.7458790184232118,4.043493034318723,1.2232415902140674,0.0,0.0,0.0,0.0,0.0
VICHY,UK,37,3.418947401332136,61.48516708970525,0.39870633384604265,16.223701753324995,10.271205327766914,0.0,0.44226044226044225,7.760011651764231,0.0,0.0
VICHY,USA,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YSL,France,28,8.518766679599873,53.893672942077366,11.913953474716918,2.7773338795498126,2.4443549583797513,0.00728862973760933,1.5633154250685848,16.286721664809086,2.533015991381196,0.06157635467980295
YSL,Germany,72,12.771671952938773,62.060425888637205,3.94688437698533,4.643898670113293,4.0078394837135285,0.3126824279190416,2.3698749251654707,9.718021558847548,0.16870071567980402,0.0
YSL,Italy,52,13.884462659746118,48.78059120804661,8.796810249611555,7.423442516641531,2.6741158667665768,0.0,1.1887614669347937,14.743710808554248,2.441962673719807,0.06614254997875688
YSL,Mexico,3,5.081535677302597,87.77114846751637,4.562005826050769,2.122347066167291,0.0,0.0,0.0,0.46296296296296297,0.0,0.0
YSL,Spain,14,14.173957555272851,53.05796288237191,8.761772575113142,4.062041074980135,1.6454552835627003,0.0,0.5070028011204483,17.317806732888055,0.458128078817734,0.015873015873015872
YSL,UK,183,5.892507117128206,57.57647523303589,6.521860913088667,5.448636518397733,2.9566147689166185,0.07258181972375242,1.2770678933442916,15.59538443308691,4.634166376002456,0.02470492727547207
YSL,USA,261,9.449152599385885,60.529170902319585,1.815999706022738,2.859852449338737,2.788098567368757,0.7871131021392964,2.546398940890613,17.67694546437421,1.54664864051615,0.0006196276440245629
